queue_ns,queue_ew,wait_ns,wait_ew,phase_is_ns,target_green_duration
38,58,38.23307553163286,11.235947200035508,1,26.049569249739605
51,5,108.42701321190364,114.60758245514837,0,12.527085386486707
28,40,9.316893118653752,73.31116649801736,1,15.600858993095459
14,38,99.46455315035504,0.15216922985882952,0,24.70314241192557
42,3,41.86680900501883,107.28086375001672,1,35.78789178825032
7,12,62.59192752136298,62.605416164030196,0,32.00202329640008
20,48,95.33827603781889,31.520368239658147,0,31.62731383027589
38,59,106.12518564275656,92.07350130187561,0,36.29224734886785
57,1,41.37377040871764,111.1998664664244,1,41.92608559134399
18,59,55.42121775301324,58.04289877761527,1,13.206747846309693
22,4,49.74192777801507,37.866416933173305,1,38.981326626726265
10,43,1.5901240204692657,94.67341487219122,1,10.0
10,26,35.513146663038796,81.81425973461455,1,16.65483303926364
23,31,55.10270804790742,106.65029805003269,0,40.93213850031879
52,20,49.331233065652775,83.10168153134316,0,22.265567269853555
35,7,86.63150730188153,29.223400667944354,0,10.188784004909422
39,37,46.17643406653239,111.79910997108229,1,20.956598614317514
23,7,58.725173876480426,12.580289664718958,1,43.32173263176422
2,49,51.5530310558836,32.15313001282175,0,45.89001484354072
21,2,88.87513786732445,62.42335292686627,1,41.56776774106873
52,53,103.55668787843551,67.88904312850816,1,34.9501467124891
1,43,63.8266894809017,1.8372703952286518,0,37.50158713714904
23,57,94.73186330342294,93.66872709851279,0,43.440529569263475
43,2,35.61440184238207,43.39287821104674,1,45.2332285447003
29,21,64.96435321887225,48.77022492025654,1,35.629119244792356
37,5,41.427594440396696,97.12434533243349,0,25.55451263380552
1,1,49.70411106861964,45.514007007305345,1,30.628515609197144
59,22,87.88966377752023,5.666985179370578,0,10.0
20,43,105.79949787992553,21.172772456442036,0,26.50599118647748
32,1,14.57944693053185,114.70838068658188,0,32.619340063407506
11,37,76.15671077848566,8.448643488301698,1,29.756210093527596
57,16,69.85725690933582,42.59174411616195,0,10.0
21,34,14.209804701111825,60.38150004616135,0,42.12575430175743
43,33,25.42731965281309,59.19369928062721,1,28.935043055827883
24,22,37.320299367921635,0.4751931614571303,0,23.673234069030322
48,29,20.031728498100176,60.139527774898845,1,31.5838301084802
26,51,29.247537902921014,46.052694957289106,1,17.479226441844787
58,7,32.1120958634049,116.64952025694686,1,37.71938634096871
41,21,40.28085996468715,19.09909007925958,0,18.822734517185864
27,43,89.92685433613909,42.4985036111394,0,29.285747391250045
59,57,68.62946446207208,50.33777821077837,1,33.54375293769406
15,35,118.34960063416818,46.88322445211385,1,32.71995642730815
14,4,49.768299236096524,79.8996993182235,1,29.480289987680955
46,12,90.463808860431,25.86154290573226,0,10.0
50,28,104.57621056518406,26.52858633767902,1,50.507143634125754
43,30,81.47741916456503,87.50531382010237,1,34.295815801669406
54,46,49.42376885009952,60.03486224138156,1,31.608335991307698
51,56,90.43135568949036,49.81868112687725,0,25.908098815608035
56,54,24.44005653272218,20.304366201270216,1,31.420353549717795
2,15,39.30625982161589,22.503266749459993,0,32.679551039176616
36,41,65.60223061191465,1.2661964179080654,0,22.34959487089901
50,29,69.0491264743378,10.97115226340511,1,47.1116961316399
6,56,2.656977056715535,66.82064336282893,1,10.0
20,54,113.41370265072105,107.02477560100918,1,17.358339057456778
8,15,83.5952725460868,34.45977181566689,0,25.42967489043701
38,11,59.484450027826924,39.32966710753538,0,16.176782561956266
17,16,111.975268128997,13.872673273381464,0,14.884610771657671
3,15,52.69146783009942,46.63571347285233,1,26.108363153587064
24,11,117.65226843244461,4.466604548319499,0,10.0
